"filename", "language", "Vue", "JavaScript", "Less", "comment", "blank", "total"
"/Users/Ls/Desktop/前端/cloudMusic/cloud-music/src/views/mv-detail/mv-detail.vue", "Vue", 144, 0, 0, 1, 3, 148
"/Users/Ls/Desktop/前端/cloudMusic/cloud-music/src/views/mv-list/all-mv/all-mv.vue", "Vue", 90, 0, 0, 2, 3, 95
"/Users/Ls/Desktop/前端/cloudMusic/cloud-music/src/views/mv-list/choiceness/choicceness.vue", "Vue", 112, 0, 0, 0, 3, 115
"/Users/Ls/Desktop/前端/cloudMusic/cloud-music/src/views/mv-list/mv-list.vue", "Vue", 39, 0, 0, 0, 3, 42
"/Users/Ls/Desktop/前端/cloudMusic/cloud-music/src/views/mv-list/rank/rank.vue", "Vue", 150, 0, 0, 1, 3, 154
"/Users/Ls/Desktop/前端/cloudMusic/cloud-music/src/views/search/search-album/search-album.vue", "Vue", 74, 0, 0, 0, 3, 77
"/Users/Ls/Desktop/前端/cloudMusic/cloud-music/src/views/search/search-list/search-list.vue", "Vue", 75, 0, 0, 0, 3, 78
"/Users/Ls/Desktop/前端/cloudMusic/cloud-music/src/views/search/search-mv/search-mv.vue", "Vue", 85, 0, 0, 0, 3, 88
"/Users/Ls/Desktop/前端/cloudMusic/cloud-music/src/views/search/search-singers/search-singer.vue", "Vue", 57, 0, 0, 1, 3, 61
"/Users/Ls/Desktop/前端/cloudMusic/cloud-music/src/views/search/search.vue", "Vue", 185, 0, 0, 0, 3, 188
"/Users/Ls/Desktop/前端/cloudMusic/cloud-music/src/views/singer-detail/singer-detail.vue", "Vue", 153, 0, 0, 11, 3, 167
"/Users/Ls/Desktop/前端/cloudMusic/cloud-music/src/views/user-login/user-login.vue", "Vue", 81, 0, 0, 0, 3, 84
"/Users/Ls/Desktop/前端/cloudMusic/cloud-music/src/views/user-option/user-option.vue", "Vue", 124, 0, 0, 0, 3, 127
"Total", "-", 5199, 739, 20, 415, 183, 6556
